,business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,inspection_date,inspection_score,risk_category,rating,price,review_count,open,close
1402,62889,Benu,22 HAWTHORNE St,San Francisco,CA,94105,37.785608,-122.399069,2018-05-02,96.0,Moderate Risk,4.0,$$,219.0,1730,2200
1403,68353,Hops & Hominy,1 Tillman Pl,San Francisco,CA,94108,37.789277,-122.405324,2018-05-02,96.0,Moderate Risk,3.0,$,93.0,0600,1800
1404,68079,Philz Coffee,4298 24th St,San Francisco,CA,94114,37.751058,-122.438272,2018-05-02,96.0,Moderate Risk,,,,,
1405,62060,Cozy Cable Car Cafe,519 Powell St,San Francisco,CA,94108,37.789521,-122.408736,2018-05-02,100.0,,,,,,
1406,67063,7-Eleven #2366-34977,527 Sutter St,San Francisco,CA,94102,37.789118,-122.409048,2018-05-02,92.0,Moderate Risk,,,,,
1407,1703,Lanna Restaurant,1245 Noriega St,San Francisco,CA,94122,37.754153,-122.47727900000001,2018-05-02,86.0,Moderate Risk,,,,,
1408,18767,Wonderful Dessert & Cafe,2035 IRVING St,San Francisco,CA,94122,37.763399,-122.47965400000001,2018-05-02,90.0,Low Risk,,,,,
1409,5278,WILLIAMS-SONOMA,2000 Chestnut St,San Francisco,CA,94123,37.800796999999996,-122.43668400000001,2018-05-02,96.0,Moderate Risk,3.5,$$,2161.0,1100,2200
1410,4559,PACIFIC FOOD MART,2199 SUTTER St,San Francisco,CA,94115,37.785623,-122.436498,2018-05-02,89.0,High Risk,,,,,
1411,2863,HAYSTACK PIZZA RESTAURANT,3881 24th St,San Francisco,CA,94114,37.751573,-122.429189,2018-05-02,92.0,Moderate Risk,4.0,$$,277.0,0630,1830
1412,64843,Palmyra,700 HAIGHT St,San Francisco,CA,94117,37.771698,-122.433903,2018-05-02,88.0,Low Risk,3.0,$,145.0,1000,2030
1413,64021,Sweet Maple Coffee Shop,2101 Sutter St,San Francisco,CA,94115,37.785833000000004,-122.43493799999999,2018-05-02,79.0,Moderate Risk,3.5,$,108.0,1000,2100
1414,36523,Marina Theatre,2149 Chestnut St,San Francisco,CA,94123,37.800483,-122.43856699999999,2018-05-02,82.0,Low Risk,,,,,
1415,5039,PRESIDIO THEATRE,2340 CHESTNUT St,San Francisco,CA,94123,37.800128,-122.44191399999998,2018-05-02,96.0,Low Risk,4.0,$,5.0,0800,1930
1416,3183,NEW ERITREA RESTAURANT,907 Irving St,San Francisco,CA,94122,37.763964,-122.46763899999999,2018-05-02,96.0,Low Risk,4.0,$,401.0,0700,1800
1417,3525,Villa Taverna,27 Hotaling Pl,San Francisco,CA,94111,37.796026,-122.40283400000001,2018-05-03,100.0,,,,,,
1418,3795,French Club,414 Mason St  8th Floor,San Francisco,CA,94102,37.787517,-122.409897,2018-05-03,100.0,,,,,,
1419,63646,SFDH - Harry Denton's Starlight Room,450 Powell St 21st Floor,San Francisco,CA,94108,37.788782,-122.40843899999999,2018-05-03,98.0,Low Risk,,,,,
1420,7641,OTHER AVENUES FOOD STORE,3930 JUDAH St,San Francisco,CA,94122,37.760519,-122.50433100000001,2018-05-03,94.0,Low Risk,3.5,$$,545.0,1600,2130
1421,5990,MISSION YMCA SENIOR MEALS PROGRAM,4080 MISSION St,San Francisco,CA,94112,37.732292,-122.42783100000001,2018-05-03,96.0,Moderate Risk,,,,,
1422,1939,STARBUCKS COFFEE CO. #603,74 NEW MONTGOMERY St,San Francisco,CA,94105,37.787838,-122.400998,2018-05-03,98.0,Low Risk,,,,,
1423,2646,THE PHOENIX BAR & RESTAURANT,811 VALENCIA St,San Francisco,CA,94110,37.759823,-122.421346,2018-05-03,84.0,Moderate Risk,,,,,
1424,552,Loi's Vietnamese Restaurant,2228 Irving St,San Francisco,CA,94122,37.763428000000005,-122.48173600000001,2018-05-03,84.0,Low Risk,,,,,
1425,67564,ITHAI,720 Post St,San Francisco,CA,94109,37.787690999999995,-122.41371699999999,2018-05-03,87.0,High Risk,,,,,
1426,3520,Bix,56 Gold St,San Francisco,CA,94111,37.796778,-122.402875,2018-05-03,100.0,,,,,,
1427,6948,Kin Fai Produce,628 Pacific Ave,San Francisco,CA,94133,37.797018,-122.40621200000001,2018-05-03,86.0,Low Risk,,,,,
