,business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,inspection_date,inspection_score,risk_category
131,768,MOSHI MOSHI,2092 03rd St,San Francisco,CA,94107,37.763187,-122.38889499999999,2017-01-24,92.0,Low Risk
132,1788,EXECUTIVE CAFE,150 EXECUTIVE PARK Blvd 2000,San Francisco,CA,94134,37.711323,-122.393371,2017-01-24,87.0,High Risk
133,5170,BAYVIEW HP MULTI-SERVICE DROP-IN CT,2111 JENNINGS St,San Francisco,CA,94124,37.726932,-122.388696,2017-01-31,94.0,Moderate Risk
134,7496,Peralta,Pier 41,San Francisco,CA,94133,37.808494,-122.412,2017-02-01,96.0,Moderate Risk
135,3054,McCormick & Kuleto's Seafood Restaunt,900 North Point St,San Francisco,CA,94109,37.805427,-122.422854,2017-02-02,100.0,
136,2152,HARD KNOX CAFE,2526 03rd St,San Francisco,CA,94107,37.757554999999996,-122.388443,2017-02-02,89.0,High Risk
137,65241,Piccino,1001 Minnesota St,San Francisco,CA,94107,37.757815,-122.39014099999999,2017-02-02,88.0,Moderate Risk
138,67911,Prather Ranch Meat Co.,1 Ferry Building  #33,San Francisco,CA,94111,37.795225,-122.39376999999999,2017-02-03,94.0,Moderate Risk
139,1671,Just For You Cafe Inc.,732 22ND St,San Francisco,CA,94107,37.757948,-122.38886200000002,2017-02-06,87.0,Low Risk
140,23557,Yield,2490 03rd St,San Francisco,CA,94107,37.75812,-122.388512,2017-02-07,89.0,High Risk
141,1482,A2 CAFE,450 IRWIN St,San Francisco,CA,94107,37.767224,-122.39903899999999,2017-02-08,74.0,Low Risk
142,66411,Del Popolo LLC,269 Chattanooga St,San Francisco,CA,94114,37.752274,-122.426336,2017-02-10,96.0,Low Risk
143,18606,Sheba Restaurant & Lounge,1419 Fillmore St,San Francisco,CA,94115,37.782764,-122.43263400000001,2017-02-13,83.0,Moderate Risk
144,1454,KISS SEAFOOD,1708 LAGUNA St,San Francisco,CA,94115,37.786838,-122.42831699999999,2017-02-15,100.0,
145,1764,FLORIO,1915 FILLMORE St,San Francisco,CA,94115,37.787553,-122.433574,2017-02-16,94.0,Low Risk
146,17689,New Mings Restaurant,641 Mission St,San Francisco,CA,94105,37.787147999999995,-122.40082199999999,2017-02-16,70.0,High Risk
147,33747,Pier 23 Cafe Inc,Pier 23,San Francisco,CA,94111,37.802673,-122.40086699999999,2017-02-21,89.0,High Risk
148,61073,Fat Angel,1740 O' Farrell St,San Francisco,CA,94115,37.783237,-122.43324299999999,2017-02-22,80.0,High Risk
149,36022,Wok In Chinese American Food,50 MENDELL St 6,San Francisco,CA,94124,37.743419,-122.383536,2017-02-23,73.0,High Risk
150,35425,LOCAL KITCHEN & WINE MERCHANT,330 01st St,San Francisco,CA,94105,37.681740999999995,-122.481424,2017-02-28,87.0,Low Risk
151,19082,Moscone Ctr. Northside Cafe/Cafe D,747 Howard St Basement,San Francisco,CA,94103,37.784128,-122.401533,2017-03-01,88.0,Moderate Risk
152,2397,PLOY #2 THAI CUISINE,1770 HAIGHT St,San Francisco,CA,94117,37.769458,-122.45135400000001,2017-03-01,74.0,Low Risk
153,28843,Salt House,2 Shaw Alley,San Francisco,CA,94105,37.788727,-122.398288,2017-03-03,92.0,Low Risk
154,60208,Sun Rise Deli,54 02nd St,San Francisco,CA,94105,37.788544,-122.40059099999999,2017-03-03,88.0,Low Risk
155,27947,Saffron Lounge,685 Townsend St,San Francisco,CA,94103,37.770728000000005,-122.40296200000002,2017-03-06,96.0,Moderate Risk
156,69294,We Sushi,428 11th,San Francisco,CA,,37.770613,-122.41219099999999,2017-03-07,83.0,Low Risk
157,33448,"Caramba, Inc",78 02nd St,San Francisco,CA,94105,37.788297,-122.40021899999999,2017-03-08,92.0,Moderate Risk
158,2143,THE BITTER END,441 CLEMENT St,San Francisco,CA,94118,37.782933,-122.46408000000001,2017-03-08,92.0,Low Risk
159,69127,Giant Burrito,353 Bayshore Blvd,San Francisco,CA,94124,37.741959,-122.405378,2017-03-08,100.0,
160,22304,Julie's Kitchen,50 FREMONT St,San Francisco,CA,94105,37.790896999999994,-122.397318,2017-03-13,94.0,Moderate Risk
161,2926,Luques Restaurant & Bar,433 Powell St,San Francisco,CA,94102,37.788672999999996,-122.408524,2017-03-16,82.0,Moderate Risk
162,62702,Comstock Saloon,155 Columbus Ave.,San Francisco,CA,94133,37.79668,-122.40498000000001,2017-03-17,92.0,Moderate Risk
163,3484,BOULEVARD,1 MISSION St,San Francisco,CA,94105,37.793496999999995,-122.39284099999999,2017-03-21,92.0,Moderate Risk
164,68961,Pupuseria & Restaurante Panchitas,4901 Mission Street,San Francisco,CA,94112,37.719932,-122.438395,2017-03-22,85.0,Moderate Risk
165,35592,Little Saigon Deli,131 Steuart St,San Francisco,CA,94105,37.792864,-122.392653,2017-03-22,80.0,Moderate Risk
166,3859,THIRSTY BEAR BREWING CO,661 HOWARD St,San Francisco,CA,94105,37.785517999999996,-122.39981200000001,2017-03-28,90.0,Low Risk
167,61602,The Grove,690 Mission St,San Francisco,CA,94105,37.786474,-122.40178799999998,2017-03-30,90.0,Moderate Risk
168,16784,Muskaan Cuisine of India,101 Spear St 22,San Francisco,CA,94105,37.792577,-122.393992,2017-03-31,96.0,Moderate Risk
169,60475,Arabi Mediterranean Cuisine,101 SPEAR St,San Francisco,CA,94105,37.792577,-122.393992,2017-03-31,92.0,Low Risk
170,67446,Soma Chicken and Salad,101 Spear St #A24,San Francisco,CA,94105,37.792577,-122.393992,2017-03-31,79.0,Low Risk
171,14577,KIM HOANG CAFE & FAST FOOD,246-250 LEAVENWORTH ST,San Francisco,CA,94102,37.783249,-122.414065,2017-04-10,79.0,Low Risk
172,4502,LA LOMA PRODUCE #7,2695 San Bruno Ave,San Francisco,CA,94134,37.727739,-122.40357900000001,2017-04-13,77.0,Low Risk
173,494,San Francisco Athletic Club,1630 Stockton St,San Francisco,CA,94133,37.800897,-122.40918899999998,2017-04-18,94.0,Moderate Risk
174,38479,Fly Trap,606 FOLSOM St,San Francisco,CA,94107,37.785404,-122.396979,2017-04-19,96.0,Low Risk
175,60547,Annie's Hot Dogs & Pretzels,"Golden Gate Park, Music Concourse",San Francisco,CA,,37.777122,-122.41963899999999,2017-04-21,92.0,Moderate Risk
176,65902,Annakoot,"Music Concourse, Golden Gate Park",San Francisco,CA,94102,37.779847,-122.418985,2017-04-21,89.0,Low Risk
177,68649,Tres Truck,130 Townsend St,San Francisco,CA,94107,37.780084,-122.391278,2017-04-22,87.0,Moderate Risk
178,63210,Let's Be Frank,Justin Herman Plaza,San Francisco,CA,,37.777122,-122.41963899999999,2017-04-22,89.0,High Risk
179,5619,AT&T - PANTRY/WALK-IN BOX/suite [145163],24 WILLIE MAYS PLAZA 4.21.02,San Francisco,CA,94107,37.778382,-122.39115100000001,2017-04-24,90.0,Moderate Risk
180,18755,Kitchen Istanbal,349 Clement St.,San Francisco,CA,94118,37.782973999999996,-122.46311899999999,2017-04-25,92.0,Moderate Risk
181,3207,Farallon Restaurant,"450 Post St, 4th Floor",San Francisco,CA,94102,37.788188,-122.40928400000001,2017-04-28,100.0,
182,3403,Farallon,450 Post St 1st Floor,San Francisco,CA,94102,37.788188,-122.40928400000001,2017-04-28,89.0,Moderate Risk
183,27680,Blue Sky Restaurant,1504 Powell St,San Francisco,CA,94133,37.798547,-122.41043700000002,2017-05-02,84.0,Moderate Risk
184,69249,Bon Appetit @ Twitter,1355 Market St 9th Fl.,San Francisco,CA,94103,37.777167999999996,-122.416702,2017-05-03,94.0,Moderate Risk
185,2218,Starbucks Coffee Co,99 Jackson St,San Francisco,CA,94111,37.79703,-122.398284,2017-05-03,91.0,High Risk
186,2601,Last Drop Tavern,550 3 St,San Francisco,CA,94108,37.789883,-122.408666,2017-05-04,94.0,Low Risk
